YearMonth,Rain_mm,Rain_mm_1yr
1999-01-01,50.92518801,10.475897180916666
1999-02-01,28.41254115,10.440817612333335
1999-03-01,9.07437603,10.37637437975
1999-04-01,2.686571043,11.006169126416667
1999-05-01,7.761524429,11.014677303083333
1999-06-01,0.346395056,11.343822245583334
1999-07-01,0.192377713,7.3158623785
1999-08-01,0.41135139,6.203262705166668
1999-09-01,0.204233509,5.86441879825
1999-10-01,8.30674387,5.764221827416667
1999-11-01,5.293831697,5.1662862020833336
1999-12-01,22.51073305,5.162332483000001
2000-01-01,2.589669605,5.157968155250001
2000-02-01,15.06134507,5.819594327333334
2000-03-01,5.008249147,6.949847381583333
2000-04-01,1.484207393,6.87504636225
2000-05-01,0.586296925,12.589335770833335
2000-06-01,0.298950427,11.023619905166667
2000-07-01,0.14000578,12.038196658083335
2000-08-01,8.350865455,11.784879561416666
2000-09-01,13.76727016,11.568044286583335
2000-10-01,7.409131638,11.535063921416667
2000-11-01,73.8653046,11.524334034083333
2000-12-01,3.722142662,11.63008232325
2001-01-01,14.76459064,11.689423335999999
2001-02-01,12.02153991,11.7762444365
2001-03-01,2.406225849,10.651303503416667
2001-04-01,1.088443011,10.15423394025
2001-05-01,0.457538277,8.41407546525
2001-06-01,1.567929897,9.456657842583335
2001-07-01,0.852097933,15.411896396750002
2001-08-01,9.392718661,24.803558112583335
2001-09-01,0.267978963,28.083067859333337
2001-10-01,1.44429688,30.31597617591667
2001-11-01,52.9834029,32.2297131145
2001-12-01,16.23313119,32.9252125995
2002-01-01,86.22745329,33.92157693341667
2002-02-01,124.7214805,33.837860249500004
2002-03-01,41.76034281,34.03038502808334
2002-04-01,27.88334281,39.639908263083335
2002-05-01,23.42238154,35.985007254416665
2002-06-01,9.913923717,36.55334381941667
2002-07-01,12.80846994,31.20746209941667
2002-08-01,8.388118454,22.77564560275
2002-09-01,2.578276306,21.156190226916667
2002-10-01,68.7585757,19.701691089416666
2002-11-01,9.124590796,17.868111943583333
2002-12-01,23.05316997,17.66667225425
2003-01-01,22.07687265,16.788810862916666
2003-02-01,23.53968254,16.18968016325
2003-03-01,22.3268783,16.616053820916665
2003-04-01,10.42935316,11.096423650916668
2003-05-01,1.41943179,11.58524427125
2003-06-01,7.496647445,18.098772965416668
2003-07-01,2.274133244,36.40605036125
2003-08-01,1.198550058,37.629911607083336
2003-09-01,7.694760198,41.503962676250005
2003-10-01,2.52301366,41.58009996791667
2003-11-01,14.99043824,43.87945738291666
2003-12-01,101.2155143,43.56119296033333
2004-01-01,241.7642014,43.405959328083334
2004-02-01,38.22601749,43.62268541933333
2004-03-01,68.81549113,43.074218536500005
2004-04-01,11.34300066,43.83081354066667
2004-05-01,29.01172077,44.68049449233334
2004-06-01,3.677474374,39.823534325666664
2004-07-01,0.411329657,32.412954217333336
2004-08-01,3.799263153,33.98790867233333
2004-09-01,1.113157604,32.62337553066667
2004-10-01,11.60215371,32.096151621000004
2004-11-01,25.18660966,29.767202100250003
2004-12-01,42.9319923,29.625223451500002
2005-01-01,152.8372401,29.814745514500004
2005-02-01,57.12547095,29.62180601625
2005-03-01,52.44109343,29.962367951000004
2005-04-01,5.016313744,30.131739051833335
2005-05-01,1.064326521,31.320830221000005
2005-06-01,1.973730589,28.17622542033334
2005-07-01,2.685594413,15.990229605750002
2005-08-01,1.483989174,15.884224355750002
2005-09-01,5.199900821,19.202752140750004
2005-10-01,13.63460692,20.29640243375
2005-11-01,39.45570369,20.962704086583337
2005-12-01,5.196734692,20.80768023491667
2006-01-01,6.605290325,20.6203061185
2006-02-01,55.85340795,20.558065573583335
2006-03-01,92.26342685,20.441878036333335
2006-04-01,18.14011726,25.710071261333336
2006-05-01,9.059946355,28.92632482966667
2006-06-01,0.113444369,29.973256582
2006-07-01,0.437105016,30.10828607291667
2006-08-01,0.737102635,26.00790161916667
2006-09-01,3.805650374,20.6428025525
2006-10-01,76.85292562,19.245869265
2006-11-01,78.05074651,18.55447829225
2006-12-01,17.75991572,18.568058095666668
2007-01-01,8.225644216,18.587955635750003
2007-02-01,6.648794505,19.426302349500002
2007-03-01,27.88223805,19.219774221833337
2007-04-01,1.37691781,12.859159664000002
2007-05-01,0.763254682,10.855665323166669
2007-06-01,0.27640201,23.1838503715
2007-07-01,0.675875497,24.138221183499997
2007-08-01,10.7972632,25.449970639750003
2007-09-01,1.327312842,23.48796280508333
2007-10-01,0.525550926,23.95502557125
2007-11-01,54.00881442,24.14491843175
2007-12-01,165.6981363,24.27258304675
2008-01-01,19.678093960000002,24.394406291750002
2008-02-01,22.38978798,23.611078413
2008-03-01,4.338144034,23.900831520166665
2008-04-01,6.981671004,24.06800461575
2008-05-01,3.041969008,21.254785871583334
2008-06-01,1.80837739,15.724316874083334
2008-07-01,2.137754437,16.912894154083336
2008-08-01,1.397328655,17.42851604325
2008-09-01,4.804350128,19.495456001250002
2008-10-01,2.531628073,19.17476745766667
2008-11-01,20.25018949,19.074615542500002
2008-12-01,99.33250833,19.272177086833334
2009-01-01,33.94102132,19.296588311416667
2009-02-01,28.57725065,27.697637206833335
2009-03-01,29.14142353,27.40850183441667
2009-04-01,3.133408481,27.663933245833334
2009-05-01,1.840146026,26.38194969366667
2009-06-01,4.179115922,20.526156038666667
2009-07-01,2.430689132,18.64754417116667
2009-08-01,102.2099154,16.83910809041667
2009-09-01,1.334725659,15.779053647916669
2009-10-01,5.59680501,15.623978624833335
2009-11-01,4.866386864,15.565211811416669
2009-12-01,29.06298447,15.23484253241667
2010-01-01,11.39767891,15.365087929916669
